1.4166,0.8751,4.9773,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0260,0.3410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1203,0.3955,2.7837,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8489,0.0000,0.0000,0.0000,0.1608
0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7843,0.1334,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0220,0.0000,0.0000,0.0000,0.0518
0.7843,0.0001,2.9601,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,4.0639,0.0000,0.0000,0.0000,0.0000
0.7843,0.0001,2.9601,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
0.7843,0.0001,2.9601,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
0.7843,0.0001,2.9601,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1002,0.3803,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0639,0.0000,0.0000,0.0000,0.1542
1.0787,0.4347,3.8805,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0147,0.1468,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0123
